model,rsquared,rsquared_adj,rsquared_pred
['UNIT'],0.41832176520707431,0.41626908506664939,0.41249081724860359
['Weekend'],0.012339786069357261,0.012332300903013182,0.012315022888753302
['Hour'],0.11837758041428481,0.11821719551615972,0.11814676791713741
['rain'],9.3733150684505162e-06,1.7947004015139711e-06,-2.11594317049979e-05
['fog'],0.0001292206888593439,0.00012164298247796523,9.7444871544505318e-05
['meantempi'],0.00051965950571852826,0.00051208475835029521,0.0004908186614761556
"['UNIT', 'Weekend']",0.42899401623401412,0.42697463925222012,0.42329618832629168
"['UNIT', 'Hour']",0.50086056073402907,0.49901151646360675,0.49591575390617315
"['UNIT', 'rain']",0.41833406383376892,0.4162769876629715,0.41249463546071119
"['UNIT', 'fog']",0.41845684811461248,0.4164002061735036,0.41261813544092529
"['UNIT', 'meantempi']",0.41879583532410825,0.41674039221976711,0.41296330682498628
"['Weekend', 'Hour']",0.1329174739642025,0.13275316042885377,0.13268001339429059
"['Weekend', 'rain']",0.01254445354066791,0.012529486196767858,0.012504156352080131
"['Weekend', 'fog']",0.012340002945376516,0.012325032502519373,0.012298824905696892
"['Weekend', 'meantempi']",0.012527929275551908,0.012512961681185542,0.012489670209674397
"['Hour', 'rain']",0.11839031556510737,0.11822324910984217,0.11814593281945096
"['Hour', 'fog']",0.11853097640639454,0.1183639366065854,0.11828560646324582
"['Hour', 'meantempi']",0.11899968483116263,0.11883941310637713,0.11875682016509004
"['rain', 'fog']",0.0001341871822057028,0.00011903172986349464,8.6769210995929491e-05
"['rain', 'meantempi']",0.00051981083222019109,0.00050466122496317656,0.0004763069466950931
"['fog', 'meantempi']",0.00070090277049605909,0.00068575590813757525,0.00065564398111173094
"['UNIT', 'Weekend', 'Hour']",0.51244724275382891,0.51063739849817991,0.50765063837484059
"['UNIT', 'Weekend', 'rain']",0.42915148544636617,0.42712830842268268,0.4234460810311832
"['UNIT', 'Weekend', 'fog']",0.42897438771668095,0.42695058303075695,0.42326592597061219
"['UNIT', 'Weekend', 'meantempi']",0.42916114094292324,0.42713799813983999,0.42345680175314093
"['UNIT', 'Hour', 'rain']",0.50088271935985629,0.49902994644485121,0.49593071810975897
"['UNIT', 'Hour', 'fog']",0.50102052316639478,0.49916826179280549,0.49606965583862817
"['UNIT', 'Hour', 'meantempi']",0.50139419921763351,0.49954332496665754,0.49644984099545131
"['UNIT', 'rain', 'fog']",0.41845788415050367,0.4163968073199702,0.41261023284772502
"['UNIT', 'rain', 'meantempi']",0.41879585369451433,0.41673597468126289,0.41295462265011851
"['UNIT', 'fog', 'meantempi']",0.4189636302641665,0.4169043458774967,0.41312346921326104
"['Weekend', 'Hour', 'rain']",0.13314280835096504,0.13297196538848,0.13289171149551815
"['Weekend', 'Hour', 'fog']",0.13291708307422601,0.13274619562508805,0.13266528796482169
"['Weekend', 'Hour', 'meantempi']",0.133143236720073,0.1329789659671301,0.13289384849185359
"['Weekend', 'rain', 'fog']",0.012600248290225879,0.012577798372795934,0.012543224471906256
"['Weekend', 'rain', 'meantempi']",0.012796822183784418,0.012774376735737447,0.012743698875806397
"['Weekend', 'fog', 'meantempi']",0.012531257513743732,0.012508806027711761,0.012476811542280752
"['Hour', 'rain', 'fog']",0.11853774436240572,0.11836402298762494,0.11827854196543242
"['Hour', 'rain', 'meantempi']",0.11899974255341739,0.11883279158554816,0.11874393870431055
"['Hour', 'fog', 'meantempi']",0.11921425764724647,0.11904734733033306,0.11895701359498478
"['rain', 'fog', 'meantempi']",0.00075749935824731551,0.00073478017931993822,0.00069801746401054743
"['UNIT', 'Weekend', 'Hour', 'rain']",0.5126198902478043,0.51080696570235873,0.50781956729099753
"['UNIT', 'Weekend', 'Hour', 'fog']",0.51246147417347299,0.51064796036231097,0.50765818394170026
"['UNIT', 'Weekend', 'Hour', 'meantempi']",0.51266722253376795,0.51085447405185325,0.50786811345086746
"['UNIT', 'Weekend', 'rain', 'fog']",0.42913214178695314,0.42710453905667245,0.42341632647289873
"['UNIT', 'Weekend', 'rain', 'meantempi']",0.42937816701526577,0.42735143811492227,0.42366787570287157
"['UNIT', 'Weekend', 'fog', 'meantempi']",0.42916576667246842,0.42713828337071869,0.42345192955307009
"['UNIT', 'Hour', 'rain', 'fog']",0.50099781204794991,0.49914165645877473,0.49603884769091211
"['UNIT', 'Hour', 'rain', 'meantempi']",0.5013945311585164,0.49953985125905209,0.496442707686783
"['UNIT', 'Hour', 'fog', 'meantempi']",0.50160462129598127,0.49975072287602196,0.49665464056327191
"['UNIT', 'rain', 'fog', 'meantempi']",0.41900797982579252,0.41694441819865169,0.41316004685121499
"['Weekend', 'Hour', 'rain', 'fog']",0.13320416511252575,0.13302676247961143,0.13293841465711242
"['Weekend', 'Hour', 'rain', 'meantempi']",0.13345307690283426,0.13328229508905864,0.13319067124916983
"['Weekend', 'Hour', 'fog', 'meantempi']",0.13314714555081875,0.13297630344312283,0.1328835950245888
"['Weekend', 'rain', 'fog', 'meantempi']",0.012906904109254547,0.012876979955558698,0.012837972110059548
"['Hour', 'rain', 'fog', 'meantempi']",0.11927796100850641,0.11910438551796809,0.11900811017767943
"['UNIT', 'Weekend', 'Hour', 'rain', 'fog']",0.51266921238195662,0.51085275044727807,0.50786045006691383
"['UNIT', 'Weekend', 'Hour', 'rain', 'meantempi']",0.51288973169417362,0.5110740917164629,0.50808594592842105
"['UNIT', 'Weekend', 'Hour', 'fog', 'meantempi']",0.51267751614191059,0.51086108515841389,0.50787042530351312
"['UNIT', 'Weekend', 'rain', 'fog', 'meantempi']",0.42947812891540582,0.42744740048362362,0.42375980478399078
"['UNIT', 'Hour', 'rain', 'fog', 'meantempi']",0.50165336384659232,0.49979584177360303,0.49669673549281668
"['Weekend', 'Hour', 'rain', 'fog', 'meantempi']",0.13358045400071994,0.13340312838091162,0.13330415541445262
"['UNIT', 'Weekend', 'Hour', 'rain', 'fog', 'meantempi']",0.51301710197869532,0.51119821850226188,0.50820694585820736
