Position,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,Eastern Sydney,South Sydney,Newtown,Glebe,Eastern Sydney,Eastern Sydney,South Sydney,Balmain,Balmain,Balmain,South Sydney,Balmain,Balmain,North Sydney,Glebe,Eastern Sydney,Balmain,South Sydney,South Sydney,South Sydney,Eastern Sydney,South Sydney,Western Suburbs,Eastern Sydney,South Sydney,Newtown,Western Suburbs,Eastern Sydney,Eastern Sydney,Eastern Sydney,Canterbury,Balmain,Eastern Sydney,Balmain,Canterbury,Newtown,Newtown,Eastern Sydney,St George,Canterbury,Western Suburbs,South Sydney,South Sydney,South Sydney,Western Suburbs,South Sydney,Newtown,Newtown,St George,St George,St George,St George,St George,St George,St George,St George,St George,St George,St George,St George,South Sydney,South Sydney,South Sydney,Manly Warringah,Manly Warringah,Manly Warringah,Eastern Sydney,Eastern Sydney,Manly Warringah,Parramatta,Western Suburbs,St George,Canterbury,Eastern Sydney,Parramatta,Manly Warringah,Canterbury,St George,Parramatta,Manly Warringah,Cronulla,South Sydney,Canberra,Penrith,Brisbane,Canterbury,Canterbury,Manly Warringah,Manly Warringah,Manly Warringah,Brisbane,Cronulla,Brisbane,Parramatta,Warriors,Penrith,Eastern Sydney,Parramatta,Melbourne,Melbourne,Melbourne,St George Illawarra,St George Illawarra,Melbourne,Canterbury,Eastern Sydney,Eastern Sydney,Eastern Sydney
2,South Sydney,Balmain,South Sydney,Eastern Sydney,Glebe,Newtown,Newtown,Glebe,South Sydney,South Sydney,Western Suburbs,Eastern Sydney,Glebe,Eastern Sydney,North Sydney,South Sydney,South Sydney,Western Suburbs,Eastern Sydney,St George,St George,St George,Eastern Sydney,South Sydney,Western Suburbs,Eastern Sydney,Eastern Sydney,South Sydney,Balmain,St George,South Sydney,Canterbury,Newtown,Canterbury,Balmain,Balmain,Balmain,Newtown,Newtown,Balmain,Balmain,Western Suburbs,Balmain,Manly Warringah,St George,St George,South Sydney,St George,Balmain,Manly Warringah,Western Suburbs,Western Suburbs,Western Suburbs,Western Suburbs,Newtown,Western Suburbs,Parramatta,North Sydney,Balmain,South Sydney,Manly Warringah,Balmain,Manly Warringah,South Sydney,Eastern Sydney,Cronulla,Manly Warringah,Manly Warringah,Parramatta,St George,Cronulla,Parramatta,Eastern Sydney,Newtown,Manly Warringah,Canterbury,Parramatta,Balmain,South Sydney,Eastern Sydney,Canterbury,Penrith,Brisbane,Manly Warringah,St George,St George,North Sydney,Canberra,Brisbane,Newcastle,Newcastle,Parramatta,Eastern Sydney,Canterbury,Newcastle,Eastern Sydney,Canterbury,St George Illawarra,Canterbury,Manly Warringah,Manly Warringah,Canterbury,Penrith,Manly Warringah,Melbourne,South Sydney,Manly Warringah,Brisbane
3,Glebe,Eastern Sydney,Eastern Sydney,South Sydney,Newtown,South Sydney,Balmain,Newtown,Glebe,Newtown,Glebe,Glebe,South Sydney,Glebe,Eastern Sydney,Balmain,Glebe,Balmain,Glebe,Eastern Sydney,South Sydney,Western Suburbs,South Sydney,Western Suburbs,Eastern Sydney,South Sydney,St George,Western Suburbs,Canterbury,South Sydney,Balmain,St George,Canterbury,Eastern Sydney,St George,North Sydney,St George,Western Suburbs,Balmain,Newtown,Newtown,St George,Newtown,St George,South Sydney,Eastern Sydney,St George,Manly Warringah,South Sydney,South Sydney,Manly Warringah,Manly Warringah,Eastern Sydney,Balmain,Western Suburbs,Balmain,Balmain,Parramatta,Manly Warringah,Canterbury,Eastern Sydney,Manly Warringah,St George,St George,St George,St George,Canterbury,St George,St George,Eastern Sydney,Manly Warringah,Cronulla,St George,Parramatta,North Sydney,Parramatta,St George,Canterbury,Canterbury,Canberra,Canberra,Balmain,Penrith,North Sydney,Illawarra,Canberra,Canberra,Brisbane,North Sydney,Parramatta,Melbourne,Melbourne,Newcastle,Newcastle,Brisbane,Canterbury,Brisbane,Brisbane,Brisbane,North Queensland,Cronulla,Gold Coast Titans,Wests Tigers,Brisbane,South Sydney,Melbourne,South Sydney,North Queensland
4,North Sydney,Newcastle,Balmain,Newtown,South Sydney,Glebe,Eastern Sydney,South Sydney,Eastern Sydney,Western Suburbs,Balmain,Western Suburbs,Western Suburbs,Balmain,South Sydney,Western Suburbs,St George,North Sydney,University,Western Suburbs,North Sydney,Newtown,St George,St George,Balmain,St George,South Sydney,North Sydney,North Sydney,Balmain,Eastern Sydney,South Sydney,St George,St George,Eastern Sydney,St George,South Sydney,Balmain,Canterbury,Western Suburbs,St George,Balmain,Western Suburbs,Western Suburbs,North Sydney,North Sydney,North Sydney,South Sydney,Western Suburbs,Western Suburbs,Balmain,Newtown,Canterbury,Manly Warringah,Parramatta,Parramatta,North Sydney,South Sydney,Newtown,Eastern Sydney,St George,St George,Canterbury,Parramatta,South Sydney,Newtown,South Sydney,Canterbury,Canterbury,Balmain,Canterbury,Western Suburbs,Western Suburbs,Cronulla,Eastern Sydney,Balmain,Manly Warringah,Parramatta,Manly Warringah,Balmain,Manly Warringah,Canberra,Manly Warringah,Canberra,Newcastle,Manly Warringah,Manly Warringah,Cronulla,Eastern Sydney,North Sydney,Parramatta,Eastern Sydney,Canberra,Cronulla,Eastern Sydney,Canberra,Penrith,Wests Tigers,Newcastle,Warriors,Eastern Sydney,Melbourne,Gold Coast Titans,Wests Tigers,Manly Warringah,Manly Warringah,Penrith,Melbourne
5,Newcastle,Glebe,Glebe,Annandale,Balmain,North Sydney,Glebe,Eastern Sydney,North Sydney,Eastern Sydney,Eastern Sydney,Newtown,Eastern Sydney,South Sydney,Balmain,North Sydney,Western Suburbs,St George,Western Suburbs,Newtown,University,North Sydney,Newtown,North Sydney,Newtown,Balmain,Newtown,Balmain,Newtown,Canterbury,North Sydney,Eastern Sydney,Balmain,Newtown,South Sydney,South Sydney,North Sydney,North Sydney,Eastern Sydney,St George,Canterbury,Parramatta,St George,Eastern Sydney,Manly Warringah,Canterbury,Manly Warringah,North Sydney,Newtown,North Sydney,Newtown,North Sydney,Balmain,Eastern Sydney,Eastern Sydney,North Sydney,South Sydney,Balmain,Western Suburbs,Balmain,Balmain,Parramatta,Eastern Sydney,Balmain,Canterbury,Canterbury,Western Suburbs,Parramatta,Eastern Sydney,Manly Warringah,Parramatta,Canterbury,South Sydney,Manly Warringah,Western Suburbs,St George,South Sydney,Penrith,Balmain,South Sydney,Balmain,Cronulla,Balmain,Western Suburbs,Western Suburbs,Brisbane,Brisbane,Newcastle,Cronulla,Eastern Sydney,North Sydney,Canterbury,Penrith,Brisbane,Cronulla,Melbourne,St George Illawarra,North Queensland,Manly Warringah,Parramatta,Brisbane,Manly Warringah,Warriors,St George Illawarra,North Queensland,Cronulla,North Queensland,Canterbury
6,Balmain,Newtown,Annandale,North Sydney,North Sydney,Balmain,North Sydney,Annandale,Newtown,Glebe,North Sydney,South Sydney,Newtown,Newtown,Western Suburbs,Glebe,Eastern Sydney,Glebe,Newtown,North Sydney,Glebe,Balmain,Balmain,Balmain,St George,North Sydney,North Sydney,Newtown,Western Suburbs,Newtown,Newtown,North Sydney,South Sydney,Western Suburbs,North Sydney,Eastern Sydney,Western Suburbs,Canterbury,North Sydney,North Sydney,Eastern Sydney,Newtown,Canterbury,Parramatta,Balmain,Newtown,Balmain,Balmain,Manly Warringah,Balmain,North Sydney,South Sydney,Manly Warringah,North Sydney,Canterbury,Manly Warringah,Newtown,Newtown,Parramatta,Manly Warringah,Parramatta,Western Suburbs,Balmain,Canterbury,Newtown,Eastern Sydney,North Sydney,Balmain,Balmain,Cronulla,Eastern Sydney,Balmain,Manly Warringah,Western Suburbs,South Sydney,Eastern Sydney,Canberra,Manly Warringah,North Sydney,Canterbury,Penrith,Brisbane,Newcastle,Canterbury,Eastern Sydney,North Sydney,Illawarra,Canterbury,Canberra,Illawarra,Eastern Sydney,St George Illawarra,Melbourne,Eastern Sydney,Parramatta,Warriors,Melbourne,Melbourne,St George Illawarra,Canterbury,Canberra,Brisbane,Eastern Sydney,Warriors,Canberra,Canterbury,Melbourne,Cronulla
7,Newtown,North Sydney,North Sydney,Western Suburbs,Annandale,Annandale,Western Suburbs,North Sydney,Annandale,Annandale,Newtown,Annandale,North Sydney,St George,Newtown,Newtown,North Sydney,University,North Sydney,Balmain,Western Suburbs,Eastern Sydney,North Sydney,Newtown,North Sydney,University,Balmain,St George,South Sydney,North Sydney,Western Suburbs,Western Suburbs,North Sydney,South Sydney,Newtown,Canterbury,Eastern Sydney,St George,Western Suburbs,South Sydney,South Sydney,Canterbury,Eastern Sydney,Canterbury,Eastern Sydney,Parramatta,Western Suburbs,Eastern Sydney,Canterbury,Eastern Sydney,Eastern Sydney,Balmain,North Sydney,South Sydney,Manly Warringah,Newtown,Western Suburbs,Manly Warringah,South Sydney,Western Suburbs,Western Suburbs,North Sydney,Cronulla,Cronulla,Western Suburbs,South Sydney,Newtown,Western Suburbs,Western Suburbs,Canterbury,South Sydney,Manly Warringah,Parramatta,North Sydney,Newtown,North Sydney,Penrith,Eastern Sydney,St George,Parramatta,Brisbane,Canterbury,Canterbury,Brisbane,Canterbury,Illawarra,Cronulla,St George,St George,Gold Coast,Canberra,Newcastle,Parramatta,St George Illawarra,St George Illawarra,Newcastle,North Queensland,Cronulla,Canberra,South Sydney,St George Illawarra,Newcastle,Canberra,North Queensland,Cronulla,Newcastle,Canterbury,South Sydney
8,Cumberland,Western Suburbs,Western Suburbs,Balmain,Western Suburbs,Western Suburbs,Annandale,Western Suburbs,Western Suburbs,North Sydney,Annandale,North Sydney,University,Western Suburbs,University,St George,Newtown,Eastern Sydney,Balmain,Glebe,Balmain,Glebe,University,University,University,Western Suburbs,University,Canterbury,St George,Western Suburbs,St George,Newtown,Western Suburbs,North Sydney,Western Suburbs,Western Suburbs,Canterbury,South Sydney,South Sydney,Eastern Sydney,Parramatta,Manly Warringah,Manly Warringah,Balmain,Newtown,Balmain,Canterbury,Parramatta,Eastern Sydney,Newtown,South Sydney,Eastern Sydney,Newtown,Canterbury,Balmain,Canterbury,Manly Warringah,Western Suburbs,Canterbury,North Sydney,Penrith,Canterbury,Newtown,Penrith,Cronulla,North Sydney,St George,Cronulla,Cronulla,North Sydney,St George,Eastern Sydney,Newtown,St George,Canterbury,South Sydney,Balmain,Cronulla,Penrith,Cronulla,South Sydney,Newcastle,Parramatta,Illawarra,Manly Warringah,Eastern Sydney,Penrith,North Sydney,Western Suburbs,Balmain,St George,Brisbane,Cronulla,Warriors,Canberra,Brisbane,Canberra,Manly Warringah,Parramatta,Brisbane,Warriors,Parramatta,Manly Warringah,Newcastle,Brisbane,North Queensland,Brisbane,St George Illawarra
9,Western Suburbs,,,,,,,,,,,,Annandale,University,St George,University,University,Newtown,St George,University,Newtown,University,,,,,,University,University,University,,,,,,,,,,Manly Warringah,Manly Warringah,North Sydney,Parramatta,Newtown,Canterbury,Manly Warringah,Eastern Sydney,Canterbury,North Sydney,Canterbury,Canterbury,Canterbury,South Sydney,Newtown,North Sydney,South Sydney,Eastern Sydney,Canterbury,North Sydney,Newtown,Canterbury,Eastern Sydney,North Sydney,Eastern Sydney,North Sydney,Balmain,Cronulla,North Sydney,Penrith,Western Suburbs,Balmain,South Sydney,Cronulla,South Sydney,Cronulla,Cronulla,Illawarra,South Sydney,Eastern Sydney,North Sydney,North Sydney,Parramatta,Illawarra,St George,Penrith,Newcastle,South Sydney,Eastern Sydney,Newcastle,Western Suburbs,Canterbury,Canberra,St George Illawarra,Melbourne,Manly Warringah,Parramatta,Wests Tigers,Eastern Sydney,North Queensland,Wests Tigers,Newcastle,Wests Tigers,South Sydney,Canterbury,St George Illawarra,Gold Coast Titans,Warriors,Manly Warringah
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parramatta,North Sydney,Eastern Sydney,North Sydney,North Sydney,Parramatta,Western Suburbs,Parramatta,Western Suburbs,Parramatta,Parramatta,Parramatta,Parramatta,Parramatta,Parramatta,South Sydney,Eastern Sydney,Canterbury,Eastern Sydney,Eastern Sydney,Parramatta,Cronulla,Newtown,Penrith,Newtown,Balmain,Western Suburbs,Penrith,Newtown,South Sydney,Penrith,Penrith,Penrith,Balmain,Canterbury,St George,Canberra,Cronulla,Canberra,Cronulla,St George,St George,St George,Cronulla,Cronulla,Balmain,Cronulla,Newcastle,Warriors,Canterbury,St George,Manly Warringah,Penrith,Wests Tigers,Manly Warringah,Melbourne,St George Illawarra,Newcastle,Penrith,Warriors,Eastern Sydney,Wests Tigers,South Sydney,Brisbane,South Sydney,Wests Tigers,Penrith,Parramatta,Canberra
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penrith,North Sydney,Penrith,Western Suburbs,North Sydney,Penrith,Parramatta,Balmain,Penrith,North Sydney,South Sydney,North Sydney,Newtown,North Sydney,Penrith,Balmain,Penrith,North Sydney,North Sydney,Canberra,Illawarra,Parramatta,Eastern Sydney,North Sydney,Eastern Sydney,North Sydney,Parramatta,St George,Western Reds,Warriors,South Sydney,Cronulla,Warriors,Canterbury,Canberra,North Queensland,North Queensland,Cronulla,Warriors,Wests Tigers,Cronulla,Parramatta,Penrith,Newcastle,Eastern Sydney,Gold Coast Titans,Warriors,St George Illawarra,Penrith
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cronulla,Newtown,Cronulla,Parramatta,Western Suburbs,Parramatta,Penrith,Parramatta,South Sydney,Newtown,Newtown,Newtown,North Sydney,Penrith,Balmain,Penrith,Illawarra,Eastern Sydney,Western Suburbs,Western Suburbs,Penrith,Eastern Sydney,Manly Warringah,St George,Balmain,Canberra,Penrith,Parramatta,Illawarra,Balmain,South Queensland,Illawarra,South Sydney,Manly Warringah,Wests Tigers,Penrith,Cronulla,Parramatta,Canterbury,Penrith,Gold Coast Titans,Penrith,North Queensland,Parramatta,Penrith,Newcastle,Brisbane,Newcastle,Parramatta
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illawarra,Newtown,Western Suburbs,Illawarra,Illawarra,Western Suburbs,Illawarra,Gold Coast,Western Suburbs,Newcastle,Cronulla,Western Suburbs,Western Suburbs,Western Suburbs,Parramatta,,Balmain,Manly Warringah,Warriors,North Queensland,Wests Tigers,Wests Tigers,Manly Warringah,South Sydney,Cronulla,St George Illawarra,Gold Coast Titans,Canberra,Canterbury,Cronulla,Eastern Sydney,Canberra,Wests Tigers,Warriors
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canberra,Western Suburbs,,,,,Newcastle,Western Suburbs,Eastern Sydney,South Sydney,South Sydney,South Sydney,Eastern Sydney,Penrith,Illawarra,,Penrith,North Sydney,North Queensland,Penrith,South Sydney,Manly Warringah,Warriors,Canberra,Eastern Sydney,Canberra,South Sydney,Warriors,Cronulla,Parramatta,Warriors,St George Illawarra,Gold Coast Titans,Gold Coast Titans
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gold Coast,North Sydney,Gold Coast,Parramatta,Parramatta,Balmain,Gold Coast,Balmain,Penrith,,Warriors,Balmain,,,Canterbury,South Sydney,South Sydney,Newcastle,South Sydney,Newcastle,North Queensland,Cronulla,North Queensland,Canberra,Penrith,Wests Tigers,Canberra,Wests Tigers
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Suburbs,Illawarra,South Sydney,Gold Coast,Gold Coast,Gold Coast,Balmain,South Queensland,Western Reds,,North Queensland,North Queensland,,,,,,,,Penrith,Canterbury,Eastern Sydney,Melbourne,Gold Coast Titans,Parramatta,Parramatta,Cronulla,Newcastle
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gold Coast,North Queensland,,Adelaide,Western Suburbs,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Sydney,Gold Coast,,South Sydney,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parramatta,South Sydney,,Gold Coast,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Queensland,South Queensland,,Western Suburbs,,,,,,,,,,,,,,,,,
