"","Adelaide","Annandale","Balmain","Brisbane","Canberra","Canterbury","Cronulla","Cumberland","Eastern.Sydney","Glebe","Gold.Coast","Gold.Coast.Titans","Illawarra","Manly.Warringah","Melbourne","Newcastle","Newtown","North.Queensland","North.Sydney","Parramatta","Penrith","South.Queensland","South.Sydney","St.George","St.George.Illawarra","University","Warriors","Western.Reds","Western.Suburbs","Wests.Tigers"
"1908",,,6,,,,,8,1,3,,,,,,5,7,,4,,,,2,,,,,,9,
"1909",,,2,,,,,,3,5,,,,,,4,6,,7,,,,1,,,,,,8,
"1910",,6,4,,,,,,3,5,,,,,,,1,,7,,,,2,,,,,,8,
"1911",,5,8,,,,,,2,1,,,,,,,4,,6,,,,3,,,,,,7,
"1912",,7,5,,,,,,1,2,,,,,,,3,,6,,,,4,,,,,,8,
"1913",,7,6,,,,,,1,4,,,,,,,2,,5,,,,3,,,,,,8,
"1914",,8,3,,,,,,4,5,,,,,,,2,,6,,,,1,,,,,,7,
"1915",,6,1,,,,,,5,2,,,,,,,3,,7,,,,4,,,,,,8,
"1916",,7,1,,,,,,4,3,,,,,,,6,,5,,,,2,,,,,,8,
"1917",,7,1,,,,,,5,6,,,,,,,3,,8,,,,2,,,,,,4,
"1918",,8,4,,,,,,5,3,,,,,,,7,,6,,,,1,,,,,,2,
"1919",,7,1,,,,,,2,3,,,,,,,5,,8,,,,6,,,,,,4,
"1920",,9,1,,,,,,5,2,,,,,,,6,,7,,,,3,,,8,,,4,
"1921",,,4,,,,,,2,3,,,,,,,6,,1,,,,5,7,,9,,,8,
"1922",,,5,,,,,,3,1,,,,,,,7,,2,,,,4,9,,8,,,6,
"1923",,,3,,,,,,1,6,,,,,,,7,,5,,,,2,8,,9,,,4,
"1924",,,1,,,,,,6,3,,,,,,,8,,7,,,,2,4,,9,,,5,
"1925",,,3,,,,,,8,6,,,,,,,9,,4,,,,1,5,,7,,,2,
"1926",,,8,,,,,,2,3,,,,,,,6,,7,,,,1,9,,4,,,5,
"1927",,,7,,,,,,3,8,,,,,,,5,,6,,,,1,2,,9,,,4,
"1928",,,8,,,,,,1,6,,,,,,,9,,4,,,,3,2,,5,,,7,
"1929",,,6,,,,,,7,8,,,,,,,4,,5,,,,1,2,,9,,,3,
"1930",,,6,,,,,,2,,,,,,,,5,,7,,,,3,4,,8,,,1,
"1931",,,6,,,,,,1,,,,,,,,7,,5,,,,2,4,,8,,,3,
"1932",,,4,,,,,,3,,,,,,,,5,,7,,,,1,6,,8,,,2,
"1933",,,5,,,,,,2,,,,,,,,1,,6,,,,3,4,,7,,,8,
"1934",,,7,,,,,,2,,,,,,,,5,,6,,,,4,3,,8,,,1,
"1935",,,5,,,8,,,1,,,,,,,,6,,4,,,,2,7,,9,,,3,
"1936",,,2,,,3,,,1,,,,,,,,5,,4,,,,7,8,,9,,,6,
"1937",,,4,,,5,,,1,,,,,,,,6,,7,,,,3,2,,9,,,8,
"1938",,,3,,,1,,,4,,,,,,,,6,,5,,,,2,8,,,,,7,
"1939",,,1,,,2,,,5,,,,,,,,8,,6,,,,4,3,,,,,7,
"1940",,,5,,,3,,,1,,,,,,,,2,,7,,,,6,4,,,,,8,
"1941",,,1,,,2,,,3,,,,,,,,5,,8,,,,7,4,,,,,6,
"1942",,,2,,,1,,,4,,,,,,,,7,,6,,,,5,3,,,,,8,
"1943",,,2,,,7,,,6,,,,,,,,1,,3,,,,5,4,,,,,8,
"1944",,,2,,,8,,,7,,,,,,,,1,,5,,,,4,3,,,,,6,
"1945",,,4,,,6,,,1,,,,,,,,2,,5,,,,8,7,,,,,3,
"1946",,,3,,,4,,,5,,,,,,,,2,,6,,,,8,1,,,,,7,
"1947",,,2,,,1,,,8,,,,,9,,,3,,6,10,,,7,5,,,,,4,
"1948",,,2,,,5,,,6,,,,,9,,,3,,10,8,,,7,4,,,,,1,
"1949",,,4,,,7,,,10,,,,,8,,,6,,9,5,,,1,3,,,,,2,
"1950",,,2,,,6,,,7,,,,,8,,,3,,10,9,,,1,5,,,,,4,
"1951",,,8,,,7,,,5,,,,,2,,,9,,10,6,,,1,3,,,,,4,
"1952",,,6,,,9,,,7,,,,,5,,,8,,4,10,,,3,2,,,,,1,
"1953",,,8,,,5,,,3,,,,,9,,,6,,4,7,,,1,2,,,,,10,
"1954",,,6,,,8,,,9,,,,,5,,,1,,4,10,,,2,3,,,,,7,
"1955",,,6,,,9,,,7,,,,,3,,,1,,5,8,,,4,2,,,,,10,
"1956",,,2,,,7,,,8,,,,,6,,,5,,9,10,,,3,1,,,,,4,
"1957",,,6,,,9,,,7,,,,,2,,,8,,5,10,,,3,1,,,,,4,
"1958",,,4,,,9,,,7,,,,,3,,,5,,6,10,,,8,1,,,,,2,
"1959",,,7,,,9,,,8,,,,,3,,,4,,5,10,,,6,1,,,,,2,
"1960",,,5,,,4,,,3,,,,,6,,,8,,7,10,,,9,1,,,,,2,
"1961",,,3,,,8,,,5,,,,,4,,,9,,6,10,,,7,1,,,,,2,
"1962",,,8,,,6,,,5,,,,,7,,,2,,9,4,,,10,1,,,,,3,
"1963",,,3,,,8,,,10,,,,,6,,,7,,5,4,,,9,1,,,,,2,
"1964",,,3,,,10,,,9,,,,,8,,,6,,4,2,,,5,1,,,,,7,
"1965",,,5,,,9,,,10,,,,,7,,,6,,2,3,,,4,1,,,,,8,
"1966",,,2,,,8,,,10,,,,,3,,,4,,9,6,,,7,1,,,,,5,
"1967",,,5,,,3,12,,4,,,,,6,,,9,,8,10,11,,2,1,,,,,7,
"1968",,,5,,,9,10,,3,,,,,2,,,12,,11,6,8,,1,4,,,,,7,
"1969",,,2,,,8,12,,9,,,,,3,,,10,,7,5,11,,1,4,,,,,6,
"1970",,,6,,,4,7,,5,,,,,2,,,8,,9,12,10,,1,3,,,,,11,
"1971",,,5,,,6,7,,9,,,,,1,,,10,,11,4,8,,2,3,,,,,12,
"1972",,,10,,,5,8,,2,,,,,1,,,6,,9,12,11,,4,3,,,,,7,
"1973",,,9,,,5,2,,6,,,,,1,,,4,,8,11,12,,7,3,,,,,10,
"1974",,,11,,,3,9,,1,,,,,2,,,7,,6,12,10,,4,8,,,,,5,
"1975",,,6,,,4,8,,1,,,,,2,,,10,,9,5,11,,12,3,,,,,7,
"1976",,,6,,,4,8,,5,,,,,1,,,12,,11,2,9,,10,3,,,,,7,
"1977",,,4,,,7,6,,3,,,,,5,,,12,,8,1,10,,11,2,,,,,9,
"1978",,,9,,,4,2,,6,,,,,3,,,12,,11,5,10,,7,8,,,,,1,
"1979",,,6,,,5,3,,8,,,,,7,,,11,,12,2,10,,9,1,,,,,4,
"1980",,,10,,,1,9,,2,,,,,6,,,8,,11,7,12,,5,3,,,,,4,
"1981",,,12,,,10,4,,1,,,,,5,,,2,,7,3,11,,9,8,,,,,6,
"1982",,,11,,14,8,9,,4,,,,13,2,,,7,,3,1,12,,6,10,,,,,5,
"1983",,,4,,10,2,9,,6,,,,12,1,,,13,,7,3,11,,8,5,,,,,14,
"1984",,,8,,6,1,10,,12,,,,9,4,,,,,11,2,7,,5,3,,,,,13,
"1985",,,2,,10,3,8,,7,,,,13,6,,,,,11,4,5,,9,1,,,,,12,
"1986",,,5,,11,3,10,,9,,,,13,4,,,,,6,1,8,,2,7,,,,,12,
"1987",,,4,,3,6,8,,2,,,,11,1,,,,,9,7,12,,5,10,,,,,13,
"1988",,,5,7,3,2,1,,12,,15,,13,4,,14,,,9,11,6,,8,10,,,,,16,
"1989",,,3,6,4,7,5,,11,,13,,16,12,,8,,,15,9,2,,1,10,,,,,14,
"1990",,,5,2,1,7,10,,14,,15,,9,4,,6,,,11,8,3,,16,12,,,,,13,
"1991",,,12,7,4,6,10,,11,,16,,8,2,,13,,,3,15,1,,14,9,,,,,5,
"1992",,,10,1,12,7,13,,6,,16,,3,8,,4,,,11,15,9,,14,2,,,,,5,
"1993",,,15,5,3,1,10,,8,,16,,7,4,,9,,,6,11,12,,14,2,,,,,13,
"1994",,,16,5,3,1,7,,14,,15,,6,4,,10,,,2,12,8,,9,11,,,,,13,
"1995",,,15,3,2,6,4,,9,,17,,12,1,,5,,20,8,19,14,16,18,7,,,10,11,13,
"1996",,,12,2,6,10,5,,4,,18,,14,1,,9,,17,3,13,15,20,19,7,,,11,16,8,
"1997",,,8,,,,,,5,,7,,6,1,,2,,,4,3,,12,11,10,,,,,9,
"1998",17,,13,1,7,9,11,,6,,19,,12,10,3,2,,16,5,4,14,,18,8,,,15,,20,
"1999",,,15,8,9,5,1,,4,,,,,13,3,7,,16,14,2,10,,12,,6,,11,,17,
"2000",,,,1,4,11,8,,2,,,,,12,6,3,,14,,7,5,,,,9,,13,,,10
"2001",,,,5,11,2,4,,6,,,,,10,9,3,,13,,1,14,,,,7,,8,,,12
"2002",,,,3,8,15,5,,4,,,,,9,10,2,,11,,6,12,,14,,7,,1,,,13
"2003",,,,8,4,3,12,,2,,,,,14,5,7,,11,,9,1,,15,,10,,6,,,13
"2004",,,,3,8,2,11,,1,,,,,13,6,10,,7,,12,4,,15,,5,,14,,,9
"2005",,,,3,14,12,7,,9,,,,,8,6,15,,5,,1,10,,13,,2,,11,,,4
"2006",,,,3,7,2,13,,14,,,,,5,1,4,,9,,8,12,,15,,6,,10,,,11
"2007",,,,8,14,6,11,,10,,,12,,2,1,15,,3,,5,16,,7,,13,,4,,,9
"2008",,,,5,6,16,3,,4,,,13,,2,1,9,,15,,11,12,,14,,7,,8,,,10
"2009",,,,6,13,2,15,,16,,,3,,5,4,7,,12,,8,11,,10,,1,,14,,,9
"2010",,,,10,7,13,14,,6,,,4,,8,16,11,,15,,12,2,,9,,1,,5,,,3
"2011",,,,3,15,9,13,,11,,,16,,2,1,8,,7,,14,12,,10,,5,,6,,,4
"2012",,,,8,6,1,7,,13,,,11,,4,2,12,,5,,16,15,,3,,9,,14,,,10
"2013",,,,12,13,6,5,,1,,,9,,4,3,7,,8,,16,10,,2,,14,,11,,,15
"2014",,,,8,15,7,16,,1,,,14,,2,6,12,,5,,10,4,,3,,11,,9,,,13
"2015",,,,2,10,5,6,,1,,,14,,9,4,16,,3,,12,11,,7,,8,,13,,,15
